time,lon,lat,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_kg/m2,surface_area_km2,TotalSoilMoisture_km3,SWE_km3,Qs_acc_km3,geometry
2000-01-01,85.875,23.375,0.0,4.7620968e-05,450.46936,709.3466,0.3195389,0.0,3.3779774e-08,POINT (85.875 23.375)
2000-01-01,86.125,23.125,0.0,6.0725808e-05,458.3094,710.6776,0.3257102,0.0,4.3156472e-08,POINT (86.125 23.125)
2000-01-01,86.125,23.375,0.0,3.5443547e-05,419.46118,709.3466,0.29754338,0.0,2.514176e-08,POINT (86.125 23.375)
2000-01-01,86.375,23.125,0.0,4.2741936e-05,421.69382,710.6776,0.29968834,0.0,3.0375737e-08,POINT (86.375 23.125)
2000-01-01,86.375,23.375,0.0,4.387097e-05,433.4435,709.3466,0.30746168,0.0,3.1119722e-08,POINT (86.375 23.375)
2000-01-01,86.625,22.875,0.0,4.592742e-05,443.41644,711.9951,0.31571034,0.0,3.27001e-08,POINT (86.625 22.875)
2000-01-01,86.625,23.125,0.0,4.9153226e-05,429.62787,710.6776,0.3053269,0.0,3.49321e-08,POINT (86.625 23.125)
2000-01-01,86.625,23.375,0.0,4.9717743e-05,437.4965,709.3466,0.31033665,0.0,3.526711e-08,POINT (86.625 23.375)
2000-01-01,86.625,23.625,0.0,4.1854837e-05,433.9886,708.0021,0.3072648,0.0,2.9633311e-08,POINT (86.625 23.625)
2000-01-01,86.875,22.125,0.0,3.1814518e-05,457.24097,715.8661,0.32732332,0.0,2.2774934e-08,POINT (86.875 22.125)
2000-01-01,86.875,22.375,0.0,4.7096775e-05,459.3538,714.5894,0.32824934,0.0,3.3654857e-08,POINT (86.875 22.375)
2000-01-01,86.875,22.625,0.0,5.8225807e-05,456.99994,713.2991,0.32597762,0.0,4.1532417e-08,POINT (86.875 22.625)
2000-01-01,86.875,22.875,0.0,4.8104837e-05,437.6842,711.9951,0.31162903,0.0,3.425041e-08,POINT (86.875 22.875)
2000-01-01,86.875,23.125,0.0,5.1169354e-05,429.6659,710.6776,0.30535394,0.0,3.6364913e-08,POINT (86.875 23.125)
2000-01-01,86.875,23.375,0.0,5.044355e-05,433.99173,709.3466,0.30785057,0.0,3.5781962e-08,POINT (86.875 23.375)
2000-01-01,86.875,23.625,0.0,4.548387e-05,448.434,708.0021,0.3174922,0.0,3.2202674e-08,POINT (86.875 23.625)
2000-01-01,87.125,22.125,0.0,3.729839e-05,468.50357,715.8661,0.3353858,0.0,2.670065e-08,POINT (87.125 22.125)
2000-01-01,87.125,22.375,0.0,5.125e-05,465.69736,714.5894,0.33278242,0.0,3.662271e-08,POINT (87.125 22.375)
2000-01-01,87.125,22.625,0.0,6.064516e-05,459.30707,713.2991,0.3276233,0.0,4.3258137e-08,POINT (87.125 22.625)
2000-01-01,87.125,22.875,0.0,6.862903e-05,460.18268,711.9951,0.3276478,0.0,4.8863534e-08,POINT (87.125 22.875)
