time,lon,lat,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm,geometry
2000-01-01,86.5,23.5,0.0,0.0049641277,403.19717,40.319717,0.0,0.0004964128,POINT (86.5 23.5)
2000-01-01,87.5,22.5,0.0,0.00451523,428.41922,42.841923,0.0,0.00045152302,POINT (87.5 22.5)
2000-01-01,87.5,23.5,0.0,0.0058208946,379.3502,37.93502,0.0,0.0005820895,POINT (87.5 23.5)
2000-01-01,88.5,22.5,0.0,0.008311858,1176.5795,117.65795,0.0,0.00083118584,POINT (88.5 22.5)
2000-01-01,88.5,23.5,0.0,0.006398371,870.83264,87.08327,0.0,0.0006398371,POINT (88.5 23.5)
2000-01-01,88.5,25.5,0.0,0.0018746476,1041.6437,104.16437,0.0,0.00018746476,POINT (88.5 25.5)
2000-01-01,89.5,26.5,0.0028260204,0.009057175,1018.5862,101.85862,0.00028260204,0.00090571755,POINT (89.5 26.5)
2000-02-01,86.5,23.5,0.0,0.01783522,389.4625,38.94625,0.0,0.0017835221,POINT (86.5 23.5)
2000-02-01,87.5,22.5,0.0,0.022246372,396.68237,39.66824,0.0,0.0022246372,POINT (87.5 22.5)
2000-02-01,87.5,23.5,0.0,0.017660102,367.5081,36.75081,0.0,0.0017660102,POINT (87.5 23.5)
2000-02-01,88.5,22.5,0.0,0.02598215,1096.344,109.6344,0.0,0.0025982151,POINT (88.5 22.5)
2000-02-01,88.5,23.5,0.0,0.016298154,817.3715,81.73715,0.0,0.0016298154,POINT (88.5 23.5)
2000-02-01,88.5,25.5,0.0,0.028897047,965.7029,96.57029,0.0,0.0028897047,POINT (88.5 25.5)
2000-02-01,89.5,26.5,0.0,0.005509949,940.2733,94.027336,0.0,0.0005509949,POINT (89.5 26.5)
2000-03-01,86.5,23.5,0.0,0.0015430785,377.41418,37.74142,0.0,0.00015430785,POINT (86.5 23.5)
2000-03-01,87.5,22.5,0.0,0.0017205472,377.20334,37.720333,0.0,0.00017205473,POINT (87.5 22.5)
2000-03-01,87.5,23.5,0.0,0.0025120138,351.2158,35.12158,0.0,0.0002512014,POINT (87.5 23.5)
2000-03-01,88.5,22.5,0.0,0.0053772745,1011.8923,101.18923,0.0,0.00053772744,POINT (88.5 22.5)
2000-03-01,88.5,23.5,0.0,0.003261333,777.361,77.73611,0.0,0.0003261333,POINT (88.5 23.5)
2000-03-01,88.5,25.5,0.0,0.0074449363,882.9876,88.29876,0.0,0.0007444936,POINT (88.5 25.5)
2000-03-01,89.5,26.5,0.0,0.009172603,877.1672,87.71672,0.0,0.00091726024,POINT (89.5 26.5)
2000-04-01,86.5,23.5,0.0,0.02242518,364.68146,36.468147,0.0,0.0022425181,POINT (86.5 23.5)
2000-04-01,87.5,22.5,0.0,0.07295676,369.00742,36.90074,0.0,0.0072956765,POINT (87.5 22.5)
2000-04-01,87.5,23.5,0.0,0.049693637,338.5181,33.85181,0.0,0.0049693636,POINT (87.5 23.5)
2000-04-01,88.5,22.5,0.0,0.11788711,960.0808,96.00808,0.0,0.011788711,POINT (88.5 22.5)
2000-04-01,88.5,23.5,0.0,0.06423447,760.2001,76.02001,0.0,0.0064234473,POINT (88.5 23.5)
2000-04-01,88.5,25.5,0.0,0.095527425,853.2436,85.32436,0.0,0.009552742,POINT (88.5 25.5)
2000-04-01,89.5,26.5,0.0,0.16308361,887.0744,88.70744,0.0,0.016308362,POINT (89.5 26.5)
2000-05-01,86.5,23.5,0.0,0.14743264,407.84253,40.784252,0.0,0.014743264,POINT (86.5 23.5)
2000-05-01,87.5,22.5,0.0,0.21825336,475.0594,47.50594,0.0,0.021825336,POINT (87.5 22.5)
2000-05-01,87.5,23.5,0.0,0.25778058,439.3136,43.931362,0.0,0.025778059,POINT (87.5 23.5)
2000-05-01,88.5,22.5,0.0,0.1844328,1013.7092,101.370926,0.0,0.01844328,POINT (88.5 22.5)
2000-05-01,88.5,23.5,0.0,0.22288647,850.09393,85.00939,0.0,0.022288648,POINT (88.5 23.5)
2000-05-01,88.5,25.5,0.0,0.255708,926.20886,92.62089,0.0,0.0255708,POINT (88.5 25.5)
2000-05-01,89.5,26.5,0.0,0.47885844,1033.3423,103.33423,0.0,0.047885846,POINT (89.5 26.5)
2000-06-01,86.5,23.5,0.0,0.31548756,546.7973,54.67973,0.0,0.031548757,POINT (86.5 23.5)
2000-06-01,87.5,22.5,0.0,0.36628932,603.64655,60.364655,0.0,0.03662893,POINT (87.5 22.5)
2000-06-01,87.5,23.5,0.0,0.40610567,581.50073,58.150074,0.0,0.040610567,POINT (87.5 23.5)
2000-06-01,88.5,22.5,0.0,0.30709,1127.0001,112.70001,0.0,0.030709002,POINT (88.5 22.5)
2000-06-01,88.5,23.5,0.0,0.25666443,992.2272,99.22272,0.0,0.025666444,POINT (88.5 23.5)
2000-06-01,88.5,25.5,0.0,0.5925121,1166.7358,116.673584,0.0,0.059251208,POINT (88.5 25.5)
2000-06-01,89.5,26.5,0.0,2.09179,1294.412,129.44121,0.0,0.209179,POINT (89.5 26.5)
2000-07-01,86.5,23.5,0.0,0.9874482,630.70703,63.070705,0.0,0.098744825,POINT (86.5 23.5)
2000-07-01,87.5,22.5,0.0,0.9472235,663.59314,66.359314,0.0,0.09472235,POINT (87.5 22.5)
2000-07-01,87.5,23.5,0.0,1.1584002,634.8144,63.48144,0.0,0.11584002,POINT (87.5 23.5)
2000-07-01,88.5,22.5,0.0,0.4610995,1227.6434,122.76434,0.0,0.046109952,POINT (88.5 22.5)
2000-07-01,88.5,23.5,0.0,0.38234836,1060.1471,106.01471,0.0,0.038234837,POINT (88.5 23.5)
2000-07-01,88.5,25.5,0.0,0.7580805,1303.8542,130.38542,0.0,0.07580805,POINT (88.5 25.5)
2000-07-01,89.5,26.5,0.0,1.7365019,1327.6112,132.76112,0.0,0.17365019,POINT (89.5 26.5)
2000-08-01,86.5,23.5,0.0,0.3760163,652.019,65.2019,0.0,0.03760163,POINT (86.5 23.5)
2000-08-01,87.5,22.5,0.0,0.5616842,683.17676,68.31768,0.0,0.05616842,POINT (87.5 22.5)
2000-08-01,87.5,23.5,0.0,0.5007164,636.8361,63.683613,0.0,0.050071638,POINT (87.5 23.5)
2000-08-01,88.5,22.5,0.0,0.31966642,1335.6487,133.56487,0.0,0.03196664,POINT (88.5 22.5)
2000-08-01,88.5,23.5,0.0,0.2699061,1164.1165,116.411644,0.0,0.026990611,POINT (88.5 23.5)
2000-08-01,88.5,25.5,0.0,1.0777026,1342.07,134.207,0.0,0.107770264,POINT (88.5 25.5)
2000-08-01,89.5,26.5,0.0,1.9733788,1332.593,133.25931,0.0,0.19733788,POINT (89.5 26.5)
2000-09-01,86.5,23.5,0.0,1.1928068,653.6961,65.36961,0.0,0.11928069,POINT (86.5 23.5)
2000-09-01,87.5,22.5,0.0,1.0414683,682.21094,68.22109,0.0,0.10414683,POINT (87.5 22.5)
2000-09-01,87.5,23.5,0.0,1.6512169,645.3087,64.530876,0.0,0.16512169,POINT (87.5 23.5)
2000-09-01,88.5,22.5,0.0,0.8129004,1402.7233,140.27232,0.0,0.081290044,POINT (88.5 22.5)
2000-09-01,88.5,23.5,0.0,1.1085159,1235.7502,123.57503,0.0,0.110851586,POINT (88.5 23.5)
2000-09-01,88.5,25.5,0.0,1.1149458,1344.8784,134.48784,0.0,0.11149458,POINT (88.5 25.5)
2000-09-01,89.5,26.5,0.0,0.9948066,1326.5634,132.65634,0.0,0.09948066,POINT (89.5 26.5)
2000-10-01,86.5,23.5,0.0,0.018884996,582.2397,58.22397,0.0,0.0018884996,POINT (86.5 23.5)
2000-10-01,87.5,22.5,0.0,0.09691868,613.2946,61.329464,0.0,0.009691868,POINT (87.5 22.5)
2000-10-01,87.5,23.5,0.0,0.06814805,566.3212,56.632122,0.0,0.006814805,POINT (87.5 23.5)
2000-10-01,88.5,22.5,0.0,0.2167642,1417.13,141.713,0.0,0.02167642,POINT (88.5 22.5)
2000-10-01,88.5,23.5,0.0,0.1239293,1248.2855,124.82855,0.0,0.01239293,POINT (88.5 23.5)
2000-10-01,88.5,25.5,0.0,0.054690503,1241.6187,124.161865,0.0,0.0054690503,POINT (88.5 25.5)
2000-10-01,89.5,26.5,0.0,0.11715847,1245.0653,124.50653,0.0,0.011715847,POINT (89.5 26.5)
2000-11-01,86.5,23.5,0.0,0.0,468.3542,46.83542,0.0,0.0,POINT (86.5 23.5)
2000-11-01,87.5,22.5,0.0,0.002343568,516.4675,51.646755,0.0,0.0002343568,POINT (87.5 22.5)
2000-11-01,87.5,23.5,0.0,0.0,468.34674,46.834675,0.0,0.0,POINT (87.5 23.5)
2000-11-01,88.5,22.5,0.0,0.014459926,1342.2098,134.221,0.0,0.0014459926,POINT (88.5 22.5)
2000-11-01,88.5,23.5,0.0,0.0,1150.9113,115.091125,0.0,0.0,POINT (88.5 23.5)
2000-11-01,88.5,25.5,0.0,0.0,1118.8611,111.88611,0.0,0.0,POINT (88.5 25.5)
2000-11-01,89.5,26.5,0.0,0.0004095102,1131.033,113.103294,0.0,4.095102e-05,POINT (89.5 26.5)
2000-12-01,86.5,23.5,0.0,0.0001346546,402.794,40.2794,0.0,1.3465461e-05,POINT (86.5 23.5)
2000-12-01,87.5,22.5,0.0,0.0,427.14676,42.714676,0.0,0.0,POINT (87.5 22.5)
2000-12-01,87.5,23.5,0.0,0.0,392.92484,39.292484,0.0,0.0,POINT (87.5 23.5)
2000-12-01,88.5,22.5,0.0,1.7368431e-05,1236.9998,123.699974,0.0,1.7368432e-06,POINT (88.5 22.5)
2000-12-01,88.5,23.5,0.0,5.493474e-05,1044.8613,104.48614,0.0,5.493474e-06,POINT (88.5 23.5)
2000-12-01,88.5,25.5,0.0,0.0,1001.43695,100.1437,0.0,0.0,POINT (88.5 25.5)
2000-12-01,89.5,26.5,0.0,1.3863538e-06,1016.16785,101.61678,0.0,1.3863539e-07,POINT (89.5 26.5)
2001-01-01,86.5,23.5,0.0,0.0009425128,375.49417,37.54942,0.0,9.4251285e-05,POINT (86.5 23.5)
2001-01-01,87.5,22.5,0.0,0.00022325302,381.7342,38.17342,0.0,2.2325303e-05,POINT (87.5 22.5)
2001-01-01,87.5,23.5,0.0,7.430405e-05,358.0905,35.80905,0.0,7.4304053e-06,POINT (87.5 23.5)
2001-01-01,88.5,22.5,0.0,0.001172469,1143.585,114.3585,0.0,0.0001172469,POINT (88.5 22.5)
2001-01-01,88.5,23.5,0.0,0.0010257729,954.5233,95.45233,0.0,0.00010257729,POINT (88.5 23.5)
2001-01-01,88.5,25.5,0.0,0.005055907,910.83453,91.08346,0.0,0.00050559075,POINT (88.5 25.5)
